,,Model,Family,Line,Type,"Launch Date","GPU Dimensions","OS Support","Additional power connector","Compute Units","Base Frequency","Boost Frequency","Game Frequency","Ray Accelerators","Peak Frequency","Peak Pixel Fill-Rate","Peak Texture Fill-Rate","Max Performance","Peak Half Precision (FP16) Performance","Peak Single Precision (FP32) Performance","Peak Double Precision (FP64) Performance",ROPs,"Stream Processors","Texture Units","Transistor Count","GPU Power","Typical Board Power (Desktop)","Minimum PSU Recommendation","Infinity Cache","Memory Speed","Max Memory Size","Memory Type","Memory Interface","Memory Bandwidth","HDMI 4K Support","4K H264 Decode","4K H264 Encode","H265/HEVC Decode","H265/HEVC Encode","AV1 Decode",DisplayPort,"Dual Link DVI",HDMI,Length,"Slot Size",VGA,"AMD Eyefinity Max Display Support","USB Type-C","Supported Technologies"
,on,"AMD Radeon™ RX 5600","AMD Radeon™ 5600 Series","AMD Radeon™ RX 5600 Series",Component,,,,,32,,"Up to 1560 MHz","Up to 1375 MHz",,,"Up to 99.84 GP/s","Up to 199.68 GT/s",,"12.78 TFLOPs","6.39 TFLOPs",,64,2048,128,"10.3 B",,"150 W","550 W",,"12 Gbps",6GB,GDDR6,192-bit,"Up to 288 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,
,on,"AMD Radeon™ RX 5500 XT","AMD Radeon™ 5500 Series","AMD Radeon™ RX 5500 Series",Component,12/12/19,,,"1 x 8-pin",22,,"Up to 1845 MHz","Up to 1717 MHz",,,"Up to 59.00 GP/s","Up to 162.36 GT/s",,,"5.2 TFLOPs",,32,1408,,"6.4 B",,"130 W","450 W",,"14 Gbps",8GB,GDDR6,,"Up to 224 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,
,on,"AMD Radeon™ RX 5700M","AMD Radeon™ 5000M Series","AMD Radeon™ RX 5000M Series",Notebook,,,,,36,,"Up to 1720 MHz","Up to 1620 MHz",,,"Up to 110.10 GP/s","Up to 247.70 GT/s",,"15.85 TFLOPs","7.93 TFLOPs",,64,2304,,"10.3 B",,,,,"12 Gbps",8GB,GDDR6,256-bit,"Up to 384 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,
,on,"AMD Radeon™ RX 5600M","AMD Radeon™ 5000M Series","AMD Radeon™ RX 5000M Series",Notebook,,,,,36,,"Up to 1265 MHz","Up to 1190 MHz",,,"Up to 80.96 GP/s","Up to 182.16 GT/s",,"11.66 TFLOPs","5.83 TFLOPs",,64,2304,144,"10.3 B",,,,,"12 Gbps",6GB,GDDR6,192-bit,"Up to 288 GB/s",,Yes,Yes,Yes,Yes,,,,,,,,,,
,on,"AMD Radeon™ RX 5500","AMD Radeon™ 5500 Series","AMD Radeon™ RX 5500 Series",Desktop,10/07/2019,,,"1 x 8-pin",22,,"Up to 1845 MHz","Up to 1670 MHz",,,"Up to 59.00 GP/s","Up to 162.36 GT/s",,"10.4 TFLOPs","5.2 TFLOPs",,32,1408,,"6.4 B",,"150 W","550 W",,"14 Gbps",4GB,GDDR6,128-bit,"Up to 224 GB/s",,Yes,Yes,Yes,Yes,,,,"4K60 Support",,,,,,
,on,"Radeon™ RX Vega 64 Liquid Cooled","Radeon™ RX Vega Series","Radeon™ RX Vega Series","Desktop, Component",Q3/2017,,,,64,"1406 MHz","Up to 1677 MHz",,,,"Up to 107.30 GP/s","Up to 429.30 GT/s","Up to 13.7 TFLOPs","27.5 TFLOPs","13.7 TFLOPs",,64,4096,256,"12.5 B",,"345 W","1000 W",,"1.89 Gbps",8GB,HBM2,2048-bit,"Up to 483.8 GB/s",,,,,,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD FreeSync™ Technology, AMD LiquidVR™ Technology, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, AMD Frame Rate Target Control, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology"
,on,"AMD Radeon™ RX 5300","AMD Radeon™ 5300 Series","AMD Radeon™ RX 5300 Series",Desktop,,,,,22,,"Up to 1645 MHz","Up to 1448 MHz",,,"Up to 52.60 GP/s","Up to 144.80 GT/s",,"9.26 TFLOPs","4.63 TFLOPs",,32,1408,,"6.4 B",,"100 W",,,"14 Gbps",3GB,GDDR6,96-bit,"Up to 168 GB/s",,Yes,Yes,Yes,Yes,,"1.4 with DSC",,"4K60 Support",,,,,,"AMD FreeSync™ Technology, DirectX® 12 Technology, The Vulkan® API"
,on,"AMD Radeon™ RX 5500M","AMD Radeon™ 5000M Series","AMD Radeon™ RX 5000M Series",Notebook,10/7/2019,,,,22,,"Up to 1645 MHz","Up to 1448 MHz",,,"Up to 52.60 GP/s","Up to 144.76 GT/s",,"9.26 TFLOPs","4.63 TFLOPs",,32,1408,,"6.4 B",,,,,"14 Gbps",4GB,GDDR6,128-bit,"Up to 224 GB/s",,Yes,Yes,Yes,Yes,,,,"4K60 Support",,,,,,
,on,"AMD Radeon™ RX 5300M","AMD Radeon™ 5000M Series","AMD Radeon™ RX 5000M Series",Notebook,11/13/2019,,,,22,,"Up to 1445 MHz","Up to 1181 MHz",,,"Up to 46.20 GP/s","Up to 127.20 GT/s",,"8.14 TFLOPs","4.07 TFLOPs",,32,1408,,"6.4 B",,,,,"14 Gbps",3GB,GDDR6,96-bit,"Up to 168 GB/s",,Yes,Yes,Yes,Yes,,,,"4K60 Support",,,,,,
,on,"Radeon™ RX Vega 64","Radeon™ RX Vega Series","Radeon™ RX Vega Series","Desktop, Component",Q3/2017,,,,64,"1247 MHz","Up to 1546 MHz",,,,"Up to 98.90 GP/s","Up to 395.80 GT/s","Up to 12.7 TFLOPs","25.3 TFLOPs","12.6 TFLOPs",,64,4096,256,"12.5 B",,"295 W","750 W",,"1.89 Gbps",8GB,HBM2,2048-bit,"Up to 483.8 GB/s",,,,,,,"1.4 HDR",No,"4K60 Support",,,No,,,"AMD Radeon™ VR Ready Premium, AMD FreeSync™ Technology, AMD Radeon™ Chill, AMD Radeon™ ReLive, DirectX® 12 Technology, AMD Eyefinity Technology (Gaming), Catalyst Software, AMD Frame Rate Target Control, OpenCL® 2.0, OpenGL 4.5, AMD PowerTune Technology, AMD TressFX Hair, TrueAudio Next, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD Virtual Super Resolution, The Vulkan® API, AMD ZeroCore Power Technology"
